participant,session,completion,date,expName,psychopyVersion,OS,frameRate,rating_all.response,rating_all.rt,rating_all.tStart,rndRat1.thisRepN,rndRat1.thisTrialN,rndRat1.thisN,rndRat1.thisIndex,rndRat1.ran,Emo,Labs,Labs2,rating_alt.response,rating_alt.rt,AltC.thisRepN,AltC.thisTrialN,AltC.thisN,AltC.thisIndex,AltC.ran,alt_choices,pic_choices,BottomAlt_Choice,rndRat2.thisRepN,rndRat2.thisTrialN,rndRat2.thisN,rndRat2.thisIndex,rndRat2.ran,rndRat3.thisRepN,rndRat3.thisTrialN,rndRat3.thisN,rndRat3.thisIndex,rndRat3.ran,trials_FC_L.thisRepN,trials_FC_L.thisTrialN,trials_FC_L.thisN,trials_FC_L.thisIndex,trials_FC_L.ran,rating_alt_2.response,rating_alt_2.rt,AltC2.thisRepN,AltC2.thisTrialN,AltC2.thisN,AltC2.thisIndex,AltC2.ran,TopAlt_Choice,rndRat4.thisRepN,rndRat4.thisTrialN,rndRat4.thisN,rndRat4.thisIndex,rndRat4.ran,rndRat5.thisRepN,rndRat5.thisTrialN,rndRat5.thisN,rndRat5.thisIndex,rndRat5.ran,trials_FC_H.thisRepN,trials_FC_H.thisTrialN,trials_FC_H.thisN,trials_FC_H.thisIndex,trials_FC_H.ran
SUPAMT20506,3K2755HG5Y2ZFVA3XR3U8DZ3UNWFDE,AF158CDD-8F02-4CE3-A559-3E6B7F0235C6,2023-09-28_12h58.54.233,WP_VExplicitOC_LH,2022.2.5,Win32,4.571428571,NA,NA,2.021,NA,NA,NA,NA,NA,frustrated,"frustrated, not frustrated","more frustrated, less frustrated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,1,NA,NA,NA,NA,NA
SUPAMT20506,3K2755HG5Y2ZFVA3XR3U8DZ3UNWFDE,AF158CDD-8F02-4CE3-A559-3E6B7F0235C6,2023-09-28_12h58.54.233,WP_VExplicitOC_LH,2022.2.5,Win32,4.571428571,NA,NA,2.183,NA,NA,NA,NA,NA,bored,"bored, not bored","more bored, less bored",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,2,2,1,NA,NA,NA,NA,NA
SUPAMT20506,3K2755HG5Y2ZFVA3XR3U8DZ3UNWFDE,AF158CDD-8F02-4CE3-A559-3E6B7F0235C6,2023-09-28_12h58.54.233,WP_VExplicitOC_LH,2022.2.5,Win32,4.571428571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,0,6,0,1
SUPAMT20506,3K2755HG5Y2ZFVA3XR3U8DZ3UNWFDE,AF158CDD-8F02-4CE3-A559-3E6B7F0235C6,2023-09-28_12h58.54.233,WP_VExplicitOC_LH,2022.2.5,Win32,4.571428571,NA,NA,2.541,NA,NA,NA,NA,NA,bored,"bored, not bored","more bored, less bored",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,2,1,NA,NA,NA,NA,NA
SUPAMT20506,3K2755HG5Y2ZFVA3XR3U8DZ3UNWFDE,AF158CDD-8F02-4CE3-A559-3E6B7F0235C6,2023-09-28_12h58.54.233,WP_VExplicitOC_LH,2022.2.5,Win32,4.571428571,NA,NA,2.097,NA,NA,NA,NA,NA,frustrated,"frustrated, not frustrated","more frustrated, less frustrated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,1,NA,NA,NA,NA,NA
SUPAMT20506,3K2755HG5Y2ZFVA3XR3U8DZ3UNWFDE,AF158CDD-8F02-4CE3-A559-3E6B7F0235C6,2023-09-28_12h58.54.233,WP_VExplicitOC_LH,2022.2.5,Win32,4.571428571,NA,NA,2.552,NA,NA,NA,NA,NA,happy,"unhappy, happy","less happy, more happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,2,0,1,NA,NA,NA,NA,NA
SUPAMT20506,3K2755HG5Y2ZFVA3XR3U8DZ3UNWFDE,AF158CDD-8F02-4CE3-A559-3E6B7F0235C6,2023-09-28_12h58.54.233,WP_VExplicitOC_LH,2022.2.5,Win32,4.571428571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,0,7,0,1
SUPAMT20506,3K2755HG5Y2ZFVA3XR3U8DZ3UNWFDE,AF158CDD-8F02-4CE3-A559-3E6B7F0235C6,2023-09-28_12h58.54.233,WP_VExplicitOC_LH,2022.2.5,Win32,4.571428571,NA,NA,2.136,NA,NA,NA,NA,NA,frustrated,"frustrated, not frustrated","more frustrated, less frustrated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,1,NA,NA,NA,NA,NA
SUPAMT20506,3K2755HG5Y2ZFVA3XR3U8DZ3UNWFDE,AF158CDD-8F02-4CE3-A559-3E6B7F0235C6,2023-09-28_12h58.54.233,WP_VExplicitOC_LH,2022.2.5,Win32,4.571428571,NA,NA,2.473,NA,NA,NA,NA,NA,happy,"unhappy, happy","less happy, more happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,0,1,NA,NA,NA,NA,NA
SUPAMT20506,3K2755HG5Y2ZFVA3XR3U8DZ3UNWFDE,AF158CDD-8F02-4CE3-A559-3E6B7F0235C6,2023-09-28_12h58.54.233,WP_VExplicitOC_LH,2022.2.5,Win32,4.571428571,NA,NA,2.177,NA,NA,NA,NA,NA,bored,"bored, not bored","more bored, less bored",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,2,2,1,NA,NA,NA,NA,NA
SUPAMT20506,3K2755HG5Y2ZFVA3XR3U8DZ3UNWFDE,AF158CDD-8F02-4CE3-A559-3E6B7F0235C6,2023-09-28_12h58.54.233,WP_VExplicitOC_LH,2022.2.5,Win32,4.571428571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,0,8,0,1
SUPAMT20506,3K2755HG5Y2ZFVA3XR3U8DZ3UNWFDE,AF158CDD-8F02-4CE3-A559-3E6B7F0235C6,2023-09-28_12h58.54.233,WP_VExplicitOC_LH,2022.2.5,Win32,4.571428571,NA,NA,2.137,NA,NA,NA,NA,NA,happy,"unhappy, happy","less happy, more happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,NA,NA,NA,NA,NA
SUPAMT20506,3K2755HG5Y2ZFVA3XR3U8DZ3UNWFDE,AF158CDD-8F02-4CE3-A559-3E6B7F0235C6,2023-09-28_12h58.54.233,WP_VExplicitOC_LH,2022.2.5,Win32,4.571428571,NA,NA,2.137,NA,NA,NA,NA,NA,bored,"bored, not bored","more bored, less bored",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,2,1,NA,NA,NA,NA,NA
SUPAMT20506,3K2755HG5Y2ZFVA3XR3U8DZ3UNWFDE,AF158CDD-8F02-4CE3-A559-3E6B7F0235C6,2023-09-28_12h58.54.233,WP_VExplicitOC_LH,2022.2.5,Win32,4.571428571,NA,NA,2.34,NA,NA,NA,NA,NA,frustrated,"frustrated, not frustrated","more frustrated, less frustrated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,2,1,1,NA,NA,NA,NA,NA
SUPAMT20506,3K2755HG5Y2ZFVA3XR3U8DZ3UNWFDE,AF158CDD-8F02-4CE3-A559-3E6B7F0235C6,2023-09-28_12h58.54.233,WP_VExplicitOC_LH,2022.2.5,Win32,4.571428571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,0,9,0,1
SUPAMT20506,3K2755HG5Y2ZFVA3XR3U8DZ3UNWFDE,AF158CDD-8F02-4CE3-A559-3E6B7F0235C6,2023-09-28_12h58.54.233,WP_VExplicitOC_LH,2022.2.5,Win32,4.571428571,NA,NA,2.064,NA,NA,NA,NA,NA,frustrated,"frustrated, not frustrated","more frustrated, less frustrated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,1,NA,NA,NA,NA,NA
SUPAMT20506,3K2755HG5Y2ZFVA3XR3U8DZ3UNWFDE,AF158CDD-8F02-4CE3-A559-3E6B7F0235C6,2023-09-28_12h58.54.233,WP_VExplicitOC_LH,2022.2.5,Win32,4.571428571,NA,NA,2.359,NA,NA,NA,NA,NA,happy,"unhappy, happy","less happy, more happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,0,1,NA,NA,NA,NA,NA
SUPAMT20506,3K2755HG5Y2ZFVA3XR3U8DZ3UNWFDE,AF158CDD-8F02-4CE3-A559-3E6B7F0235C6,2023-09-28_12h58.54.233,WP_VExplicitOC_LH,2022.2.5,Win32,4.571428571,NA,NA,2.338,NA,NA,NA,NA,NA,bored,"bored, not bored","more bored, less bored",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,2,2,1,NA,NA,NA,NA,NA
SUPAMT20506,3K2755HG5Y2ZFVA3XR3U8DZ3UNWFDE,AF158CDD-8F02-4CE3-A559-3E6B7F0235C6,2023-09-28_12h58.54.233,WP_VExplicitOC_LH,2022.2.5,Win32,4.571428571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,0,10,0,1
SUPAMT20506,3K2755HG5Y2ZFVA3XR3U8DZ3UNWFDE,AF158CDD-8F02-4CE3-A559-3E6B7F0235C6,2023-09-28_12h58.54.233,WP_VExplicitOC_LH,2022.2.5,Win32,4.571428571,NA,NA,2.206,NA,NA,NA,NA,NA,happy,"unhappy, happy","less happy, more happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,NA,NA,NA,NA,NA
SUPAMT20506,3K2755HG5Y2ZFVA3XR3U8DZ3UNWFDE,AF158CDD-8F02-4CE3-A559-3E6B7F0235C6,2023-09-28_12h58.54.233,WP_VExplicitOC_LH,2022.2.5,Win32,4.571428571,NA,NA,2.076,NA,NA,NA,NA,NA,bored,"bored, not bored","more bored, less bored",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,2,1,NA,NA,NA,NA,NA
SUPAMT20506,3K2755HG5Y2ZFVA3XR3U8DZ3UNWFDE,AF158CDD-8F02-4CE3-A559-3E6B7F0235C6,2023-09-28_12h58.54.233,WP_VExplicitOC_LH,2022.2.5,Win32,4.571428571,NA,NA,2.329,NA,NA,NA,NA,NA,frustrated,"frustrated, not frustrated","more frustrated, less frustrated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,2,1,1,NA,NA,NA,NA,NA
SUPAMT20506,3K2755HG5Y2ZFVA3XR3U8DZ3UNWFDE,AF158CDD-8F02-4CE3-A559-3E6B7F0235C6,2023-09-28_12h58.54.233,WP_VExplicitOC_LH,2022.2.5,Win32,4.571428571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,0,11,0,1
SUPAMT20506,3K2755HG5Y2ZFVA3XR3U8DZ3UNWFDE,AF158CDD-8F02-4CE3-A559-3E6B7F0235C6,2023-09-28_12h58.54.233,WP_VExplicitOC_LH,2022.2.5,Win32,4.571428571,NA,NA,2.132,NA,NA,NA,NA,NA,happy,"unhappy, happy","less happy, more happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,NA,NA,NA,NA,NA
SUPAMT20506,3K2755HG5Y2ZFVA3XR3U8DZ3UNWFDE,AF158CDD-8F02-4CE3-A559-3E6B7F0235C6,2023-09-28_12h58.54.233,WP_VExplicitOC_LH,2022.2.5,Win32,4.571428571,NA,NA,2.547,NA,NA,NA,NA,NA,bored,"bored, not bored","more bored, less bored",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,2,1,NA,NA,NA,NA,NA
SUPAMT20506,3K2755HG5Y2ZFVA3XR3U8DZ3UNWFDE,AF158CDD-8F02-4CE3-A559-3E6B7F0235C6,2023-09-28_12h58.54.233,WP_VExplicitOC_LH,2022.2.5,Win32,4.571428571,NA,NA,2.37,NA,NA,NA,NA,NA,frustrated,"frustrated, not frustrated","more frustrated, less frustrated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,2,1,1,NA,NA,NA,NA,NA
SUPAMT20506,3K2755HG5Y2ZFVA3XR3U8DZ3UNWFDE,AF158CDD-8F02-4CE3-A559-3E6B7F0235C6,2023-09-28_12h58.54.233,WP_VExplicitOC_LH,2022.2.5,Win32,4.571428571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,0,12,0,1
SUPAMT20506,3K2755HG5Y2ZFVA3XR3U8DZ3UNWFDE,AF158CDD-8F02-4CE3-A559-3E6B7F0235C6,2023-09-28_12h58.54.233,WP_VExplicitOC_LH,2022.2.5,Win32,4.571428571,NA,NA,2.704,NA,NA,NA,NA,NA,bored,"bored, not bored","more bored, less bored",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,2,1,NA,NA,NA,NA,NA
SUPAMT20506,3K2755HG5Y2ZFVA3XR3U8DZ3UNWFDE,AF158CDD-8F02-4CE3-A559-3E6B7F0235C6,2023-09-28_12h58.54.233,WP_VExplicitOC_LH,2022.2.5,Win32,4.571428571,NA,NA,2.452,NA,NA,NA,NA,NA,happy,"unhappy, happy","less happy, more happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,0,1,NA,NA,NA,NA,NA
SUPAMT20506,3K2755HG5Y2ZFVA3XR3U8DZ3UNWFDE,AF158CDD-8F02-4CE3-A559-3E6B7F0235C6,2023-09-28_12h58.54.233,WP_VExplicitOC_LH,2022.2.5,Win32,4.571428571,NA,NA,2.665,NA,NA,NA,NA,NA,frustrated,"frustrated, not frustrated","more frustrated, less frustrated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,2,1,1,NA,NA,NA,NA,NA
SUPAMT20506,3K2755HG5Y2ZFVA3XR3U8DZ3UNWFDE,AF158CDD-8F02-4CE3-A559-3E6B7F0235C6,2023-09-28_12h58.54.233,WP_VExplicitOC_LH,2022.2.5,Win32,4.571428571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,0,13,0,1
SUPAMT20506,3K2755HG5Y2ZFVA3XR3U8DZ3UNWFDE,AF158CDD-8F02-4CE3-A559-3E6B7F0235C6,2023-09-28_12h58.54.233,WP_VExplicitOC_LH,2022.2.5,Win32,4.571428571,NA,NA,2.035,NA,NA,NA,NA,NA,frustrated,"frustrated, not frustrated","more frustrated, less frustrated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,1,NA,NA,NA,NA,NA
SUPAMT20506,3K2755HG5Y2ZFVA3XR3U8DZ3UNWFDE,AF158CDD-8F02-4CE3-A559-3E6B7F0235C6,2023-09-28_12h58.54.233,WP_VExplicitOC_LH,2022.2.5,Win32,4.571428571,NA,NA,2.079,NA,NA,NA,NA,NA,bored,"bored, not bored","more bored, less bored",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,2,1,NA,NA,NA,NA,NA
SUPAMT20506,3K2755HG5Y2ZFVA3XR3U8DZ3UNWFDE,AF158CDD-8F02-4CE3-A559-3E6B7F0235C6,2023-09-28_12h58.54.233,WP_VExplicitOC_LH,2022.2.5,Win32,4.571428571,NA,NA,2.074,NA,NA,NA,NA,NA,happy,"unhappy, happy","less happy, more happy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,2,0,1,NA,NA,NA,NA,NA
SUPAMT20506,3K2755HG5Y2ZFVA3XR3U8DZ3UNWFDE,AF158CDD-8F02-4CE3-A559-3E6B7F0235C6,2023-09-28_12h58.54.233,WP_VExplicitOC_LH,2022.2.5,Win32,4.571428571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,0,14,0,1
SUPAMT20506,3K2755HG5Y2ZFVA3XR3U8DZ3UNWFDE,AF158CDD-8F02-4CE3-A559-3E6B7F0235C6,2023-09-28_12h58.54.233,WP_VExplicitOC_LH,2022.2.5,Win32,4.571428571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
